"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-52.74","47.62","ST JOHN'S A","8403506","2000-01-01","2000","01","01","","-4.2","","-12.3","","-8.3","","26.3","","0.0","","0.0","","0.2","","0.2","","6","","","","<31",""
"-52.74","47.62","ST JOHN'S A","8403506","2000-01-02","2000","01","02","","1.1","","-8.8","","-3.9","","21.9","","0.0","","0.0","","0.4","","0.4","","6","","25","E","59","E"
"-52.74","47.62","ST JOHN'S A","8403506","2000-01-03","2000","01","03","","5.3","","-7.5","","-1.1","","19.1","","0.0","","4.3","","7.6","","11.9","","6","","31","E","78","E"
"-52.74","47.62","ST JOHN'S A","8403506","2000-01-04","2000","01","04","","0.6","","-9.7","","-4.6","","22.6","","0.0","","1.1","","0.0","","1.1","","3","","29","E","78","E"
"-52.74","47.62","ST JOHN'S A","8403506","2000-01-05","2000","01","05","","15.0","","-0.6","","7.2","","10.8","","0.0","","12.3","","0.2","","12.5","","0","T","23","E","93","E"
"-52.74","47.62","ST JOHN'S A","8403506","2000-01-06","2000","01","06","","-0.6","","-11.7","","-6.2","","24.2","","0.0","","0.0","","1.0","","1.0","","0","T","29","E","74","E"
"-52.74","47.62","ST JOHN'S A","8403506","2000-01-07","2000","01","07","","0.0","","-11.2","","-5.6","","23.6","","0.0","","0.0","","0.0","T","0.0","T","0","T","16","E","52","E"
"-52.74","47.62","ST JOHN'S A","8403506","2000-01-08","2000","01","08","","3.0","","-4.6","","-0.8","","18.8","","0.0","","15.3","","2.0","","17.3","","0","T","25","E","95","E"
"-52.74","47.62","ST JOHN'S A","8403506","2000-01-09","2000","01","09","","-2.3","","-8.1","","-5.2","","23.2","","0.0","","0.0","","2.2","","2.0","","1","","27","E","37","E"
"-52.74","47.62","ST JOHN'S A","8403506","2000-01-10","2000","01","10","","1.0","","-2.9","","-1.0","","19.0","","0.0","","0.0","","5.8","","5.8","","5","","17","E","37","E"
"-52.74","47.62","ST JOHN'S A","8403506","2000-01-11","2000","01","11","","4.0","","-2.6","","0.7","","17.3","","0.0","","5.2","","0.0","T","5.2","","2","","16","E","65","E"
"-52.74","47.62","ST JOHN'S A","8403506","2000-01-12","2000","01","12","","4.6","","-1.8","","1.4","","16.6","","0.0","","0.8","","0.0","","0.8","","0","T","22","E","56","E"
"-52.74","47.62","ST JOHN'S A","8403506","2000-01-13","2000","01","13","","1.1","","-2.9","","-0.9","","18.9","","0.0","","0.0","","0.0","T","0.0","T","0","T","21","E","56","E"
