"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-52.74","47.62","ST JOHN'S A","8403506","2006-01-01","2006","01","01","","0.0","","-2.8","","-1.4","","19.4","","0.0","","0.0","","0.0","T","0.0","T","0","T","6","E","39","E"
"-52.74","47.62","ST JOHN'S A","8403506","2006-01-02","2006","01","02","","-0.4","","-3.6","","-2.0","","20.0","","0.0","","0.0","","4.2","","4.0","","2","","2","E","54","E"
"-52.74","47.62","ST JOHN'S A","8403506","2006-01-03","2006","01","03","","-1.6","","-8.9","","-5.3","","23.3","","0.0","","0.0","","0.0","T","0.0","T","4","","30","E","32","E"
"-52.74","47.62","ST JOHN'S A","8403506","2006-01-04","2006","01","04","","0.1","","-13.6","","-6.8","","24.8","","0.0","","1.0","","0.0","","1.0","","4","","13","E","37","E"
"-52.74","47.62","ST JOHN'S A","8403506","2006-01-05","2006","01","05","","1.7","","-4.6","","-1.5","","19.5","","0.0","","37.8","","7.4","","45.2","","4","","35","E","67","E"
"-52.74","47.62","ST JOHN'S A","8403506","2006-01-06","2006","01","06","","2.4","","-2.2","","0.1","","17.9","","0.0","","0.4","","0.0","","0.4","","4","","34","E","46","E"
"-52.74","47.62","ST JOHN'S A","8403506","2006-01-07","2006","01","07","","12.3","","2.1","","7.2","","10.8","","0.0","","15.2","","0.0","","15.2","","2","","17","E","74","E"
"-52.74","47.62","ST JOHN'S A","8403506","2006-01-08","2006","01","08","","2.5","","-2.1","","0.2","","17.8","","0.0","","0.0","","0.0","","0.0","","0","","26","E","43","E"
"-52.74","47.62","ST JOHN'S A","8403506","2006-01-09","2006","01","09","","-0.9","","-5.7","","-3.3","","21.3","","0.0","","0.0","","2.8","","2.4","","0","","27","E","39","E"
"-52.74","47.62","ST JOHN'S A","8403506","2006-01-10","2006","01","10","","3.4","","-5.7","","-1.2","","19.2","","0.0","","1.8","","3.0","","4.8","","2","","29","E","63","E"
"-52.74","47.62","ST JOHN'S A","8403506","2006-01-11","2006","01","11","","-0.7","","-5.1","","-2.9","","20.9","","0.0","","0.0","","0.0","T","0.0","T","2","","28","E","74","E"
"-52.74","47.62","ST JOHN'S A","8403506","2006-01-12","2006","01","12","","7.6","","-7.9","","-0.2","","18.2","","0.0","","10.4","","2.4","","12.8","","1","","26","E","80","E"
"-52.74","47.62","ST JOHN'S A","8403506","2006-01-13","2006","01","13","","2.9","","-4.5","","-0.8","","18.8","","0.0","","0.0","T","0.0","","0.0","T","0","T","28","E","87","E"
