"day_of_year","avg_photoperiod","date"
1,8.50378968253968,2020-01-02
2,8.52013888888889,2020-01-03
3,8.53795634920635,2020-01-04
4,8.55714285714286,2020-01-05
5,8.57769841269841,2020-01-06
6,8.59956349206349,2020-01-07
7,8.62281746031746,2020-01-08
8,8.64732142857143,2020-01-09
9,8.67303571428571,2020-01-10
10,8.70015873015873,2020-01-11
11,8.72839285714286,2020-01-12
12,8.75785714285714,2020-01-13
13,8.7885119047619,2020-01-14
14,8.82025793650794,2020-01-15
15,8.85313492063492,2020-01-16
16,8.88712301587302,2020-01-17
17,8.92214285714286,2020-01-18
18,8.9581746031746,2020-01-19
19,8.99517857142857,2020-01-20
20,9.0331746031746,2020-01-21
21,9.07210317460317,2020-01-22
22,9.11198412698413,2020-01-23
23,9.15271825396825,2020-01-24
24,9.19424603174603,2020-01-25
25,9.23664682539683,2020-01-26
26,9.2797619047619,2020-01-27
27,9.32373015873016,2020-01-28
28,9.36839285714286,2020-01-29
29,9.41378968253968,2020-01-30
30,9.45984126984127,2020-01-31
31,9.50656746031746,2020-02-01
32,9.5539880952381,2020-02-02
33,9.6018253968254,2020-02-03
34,9.65037698412698,2020-02-04
35,9.6994246031746,2020-02-05
36,9.74896825396825,2020-02-06
37,9.7990873015873,2020-02-07
38,9.8496626984127,2020-02-08
39,9.90075396825397,2020-02-09
40,9.95218253968254,2020-02-10
41,10.0041468253968,2020-02-11
42,10.0564285714286,2020-02-12
43,10.1090873015873,2020-02-13
44,10.1621031746032,2020-02-14
45,10.2155158730159,2020-02-15
46,10.2692261904762,2020-02-16
47,10.3232341269841,2020-02-17
48,10.3775396825397,2020-02-18
49,10.4321428571429,2020-02-19
50,10.4870833333333,2020-02-20
51,10.5420238095238,2020-02-21
52,10.597380952381,2020-02-22
53,10.6528968253968,2020-02-23
54,10.7086507936508,2020-02-24
55,10.7646031746032,2020-02-25
56,10.8207142857143,2020-02-26
57,10.877003968254,2020-02-27
58,10.9334325396825,2020-02-28
59,10.9900595238095,2020-02-29
60,11.0467857142857,2020-03-01
61,11.1035912698413,2020-03-02
62,11.1605753968254,2020-03-03
63,11.2176785714286,2020-03-04
64,11.2748214285714,2020-03-05
65,11.3320634920635,2020-03-06
66,11.3894841269841,2020-03-07
67,11.4468849206349,2020-03-08
68,11.5043650793651,2020-03-09
69,11.5619246031746,2020-03-10
70,11.6195436507937,2020-03-11
71,11.6771428571429,2020-03-12
72,11.7348412698413,2020-03-13
73,11.7925992063492,2020-03-14
74,11.8502976190476,2020-03-15
75,11.9080555555556,2020-03-16
76,11.9658333333333,2020-03-17
77,12.0235912698413,2020-03-18
78,12.081369047619,2020-03-19
79,12.1391468253968,2020-03-20
80,12.1968849206349,2020-03-21
81,12.254623015873,2020-03-22
82,12.3123611111111,2020-03-23
83,12.37,2020-03-24
84,12.4276785714286,2020-03-25
85,12.4852777777778,2020-03-26
86,12.5427976190476,2020-03-27
87,12.6002976190476,2020-03-28
88,12.6577579365079,2020-03-29
89,12.715119047619,2020-03-30
90,12.7724007936508,2020-03-31
91,12.8296428571429,2020-04-01
92,12.886746031746,2020-04-02
93,12.9438293650794,2020-04-03
94,13.0007341269841,2020-04-04
