x,y,TOTAL_SNOW,MIN_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,TOTAL_PRECIPITATION,TOTAL_SNOW_FLAG,MAX_REL_HUMIDITY_FLAG,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS_FLAG,LOCAL_DAY,HEATING_DEGREE_DAYS_FLAG,LOCAL_MONTH,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,PROVINCE_CODE,TOTAL_RAIN,MIN_TEMPERATURE_FLAG,SNOW_ON_GROUND_FLAG,SPEED_MAX_GUST,STATION_NAME,MIN_REL_HUMIDITY,LOCAL_DATE,DIRECTION_MAX_GUST,MIN_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_RAIN_FLAG,SNOW_ON_GROUND,HEATING_DEGREE_DAYS,CLIMATE_IDENTIFIER,MAX_TEMPERATURE_FLAG,MAX_REL_HUMIDITY,COOLING_DEGREE_DAYS,ID,MAX_TEMPERATURE,LOCAL_YEAR
-52.7,47.56666666666667,0,1.1,,0,,,,,20,,5,4.2,,NL,0,,,,ST JOHN'S,,1901-05-20 00:00:00,,,,,,13.8,8403500,,,0,8403500.1901.5.20,7.2,1901
-52.7,47.56666666666667,0,3.9,,2,,,,,21,,5,8.4,,NL,2,,,,ST JOHN'S,,1901-05-21 00:00:00,,,,,,9.6,8403500,,,0,8403500.1901.5.21,12.8,1901
-52.7,47.56666666666667,0,2.8,,0,,,,,22,,5,7.3,,NL,0,,,,ST JOHN'S,,1901-05-22 00:00:00,,,,,,10.7,8403500,,,0,8403500.1901.5.22,11.7,1901
-52.7,47.56666666666667,0,4.4,,4.6,,,,,23,,5,7.5,,NL,4.6,,,,ST JOHN'S,,1901-05-23 00:00:00,,,,,,10.5,8403500,,,0,8403500.1901.5.23,10.6,1901
-52.7,47.56666666666667,0,3.3,,18.3,,,,,24,,5,6.1,,NL,18.3,,,,ST JOHN'S,,1901-05-24 00:00:00,,,,,,11.9,8403500,,,0,8403500.1901.5.24,8.9,1901
-52.7,47.56666666666667,0,2.8,,0,,,,,25,,5,6.4,,NL,0,,,,ST JOHN'S,,1901-05-25 00:00:00,,,,,,11.6,8403500,,,0,8403500.1901.5.25,10,1901
-52.7,47.56666666666667,0,2.2,,0,,,,,26,,5,8.3,,NL,0,,,,ST JOHN'S,,1901-05-26 00:00:00,,,,,,9.7,8403500,,,0,8403500.1901.5.26,14.4,1901
-52.7,47.56666666666667,0,3.9,,0,,,,,27,,5,11.1,,NL,0,,,,ST JOHN'S,,1901-05-27 00:00:00,,,,,,6.9,8403500,,,0,8403500.1901.5.27,18.3,1901
-52.7,47.56666666666667,0,2.8,,0,,,,,28,,5,5.9,,NL,0,,,,ST JOHN'S,,1901-05-28 00:00:00,,,,,,12.1,8403500,,,0,8403500.1901.5.28,8.9,1901
-52.7,47.56666666666667,0,1.7,,0,,,,,29,,5,4.2,,NL,0,,,,ST JOHN'S,,1901-05-29 00:00:00,,,,,,13.8,8403500,,,0,8403500.1901.5.29,6.7,1901
-52.7,47.56666666666667,0,0.6,,0,,,,,30,,5,6.4,,NL,0,,,,ST JOHN'S,,1901-05-30 00:00:00,,,,,,11.6,8403500,,,0,8403500.1901.5.30,12.2,1901
-52.7,47.56666666666667,0,0,,0,,,,,31,,5,4.2,,NL,0,,,,ST JOHN'S,,1901-05-31 00:00:00,,,,,,13.8,8403500,,,0,8403500.1901.5.31,8.3,1901
-52.7,47.56666666666667,0,4.4,,11.7,,,,,1,,6,8.9,,NL,11.7,,,,ST JOHN'S,,1901-06-01 00:00:00,,,,,,9.1,8403500,,,0,8403500.1901.6.1,13.3,1901
-52.7,47.56666666666667,0,3.3,,1,,,,,2,,6,6.4,,NL,1,,,,ST JOHN'S,,1901-06-02 00:00:00,,,,,,11.6,8403500,,,0,8403500.1901.6.2,9.4,1901
-52.7,47.56666666666667,0,1.7,,1.5,,,,,3,,6,6.4,,NL,1.5,,,,ST JOHN'S,,1901-06-03 00:00:00,,,,,,11.6,8403500,,,0,8403500.1901.6.3,11.1,1901
-52.7,47.56666666666667,0,6.1,,0,,,,,4,,6,13.9,,NL,0,,,,ST JOHN'S,,1901-06-04 00:00:00,,,,,,4.1,8403500,,,0,8403500.1901.6.4,21.7,1901
-52.7,47.56666666666667,0,4.4,,6.6,,,,,5,,6,7.2,,NL,6.6,,,,ST JOHN'S,,1901-06-05 00:00:00,,,,,,10.8,8403500,,,0,8403500.1901.6.5,10,1901
-52.7,47.56666666666667,0,10,,0,,,,,6,,6,14.2,,NL,0,,,,ST JOHN'S,,1901-06-06 00:00:00,,,,,,3.8,8403500,,,0,8403500.1901.6.6,18.3,1901
-52.7,47.56666666666667,0,7.8,,0,,,,,7,,6,16.1,,NL,0,,,,ST JOHN'S,,1901-06-07 00:00:00,,,,,,1.9,8403500,,,0,8403500.1901.6.7,24.4,1901
-52.7,47.56666666666667,0,6.1,,0,,,,,8,,6,16.4,,NL,0,,,,ST JOHN'S,,1901-06-08 00:00:00,,,,,,1.6,8403500,,,0,8403500.1901.6.8,26.7,1901
-52.7,47.56666666666667,0,4.4,,0,,,,,9,,6,9.2,,NL,0,,,,ST JOHN'S,,1901-06-09 00:00:00,,,,,,8.8,8403500,,,0,8403500.1901.6.9,13.9,1901
-52.7,47.56666666666667,0,7.8,,2.5,,,,,10,,6,11.7,,NL,2.5,,,,ST JOHN'S,,1901-06-10 00:00:00,,,,,,6.3,8403500,,,0,8403500.1901.6.10,15.6,1901
-52.7,47.56666666666667,0,8.9,,0,,,,,11,,6,12.3,,NL,0,,,,ST JOHN'S,,1901-06-11 00:00:00,,,,,,5.7,8403500,,,0,8403500.1901.6.11,15.6,1901
-52.7,47.56666666666667,0,7.2,,0,,,,,12,,6,10,,NL,0,,,,ST JOHN'S,,1901-06-12 00:00:00,,,,,,8,8403500,,,0,8403500.1901.6.12,12.8,1901
-52.7,47.56666666666667,0,4.4,,1.5,,,,,13,,6,5.8,,NL,1.5,,,,ST JOHN'S,,1901-06-13 00:00:00,,,,,,12.2,8403500,,,0,8403500.1901.6.13,7.2,1901
-52.7,47.56666666666667,0,1.7,,20.3,,,,,14,,6,4.5,,NL,20.3,,,,ST JOHN'S,,1901-06-14 00:00:00,,,,,,13.5,8403500,,,0,8403500.1901.6.14,7.2,1901
-52.7,47.56666666666667,0,2.2,,5.1,,,,,15,,6,3.3,,NL,5.1,,,,ST JOHN'S,,1901-06-15 00:00:00,,,,,,14.7,8403500,,,0,8403500.1901.6.15,4.4,1901
-52.7,47.56666666666667,0,1.7,,0.5,,,,,16,,6,5.9,,NL,0.5,,,,ST JOHN'S,,1901-06-16 00:00:00,,,,,,12.1,8403500,,,0,8403500.1901.6.16,10,1901
-52.7,47.56666666666667,0,4.4,,1.5,,,,,17,,6,7.8,,NL,1.5,,,,ST JOHN'S,,1901-06-17 00:00:00,,,,,,10.2,8403500,,,0,8403500.1901.6.17,11.1,1901
-52.7,47.56666666666667,0,5,,4.1,,,,,18,,6,9.5,,NL,4.1,,,,ST JOHN'S,,1901-06-18 00:00:00,,,,,,8.5,8403500,,,0,8403500.1901.6.18,13.9,1901
-52.7,47.56666666666667,0,2.8,,0,,,,,19,,6,7.8,,NL,0,,,,ST JOHN'S,,1901-06-19 00:00:00,,,,,,10.2,8403500,,,0,8403500.1901.6.19,12.8,1901
-52.7,47.56666666666667,0,3.9,,0,,,,,20,,6,12.5,,NL,0,,,,ST JOHN'S,,1901-06-20 00:00:00,,,,,,5.5,8403500,,,0,8403500.1901.6.20,21.1,1901
-52.7,47.56666666666667,0,8.9,,0,,,,,21,,6,16.4,,NL,0,,,,ST JOHN'S,,1901-06-21 00:00:00,,,,,,1.6,8403500,,,0,8403500.1901.6.21,23.9,1901
-52.7,47.56666666666667,0,8.9,,2.5,,,,,22,,6,13.6,,NL,2.5,,,,ST JOHN'S,,1901-06-22 00:00:00,,,,,,4.4,8403500,,,0,8403500.1901.6.22,18.3,1901
-52.7,47.56666666666667,0,8.9,,0,,,,,23,,6,13.4,,NL,0,,,,ST JOHN'S,,1901-06-23 00:00:00,,,,,,4.6,8403500,,,0,8403500.1901.6.23,17.8,1901
-52.7,47.56666666666667,0,5.6,,0,,,,,24,,6,7.3,,NL,0,,,,ST JOHN'S,,1901-06-24 00:00:00,,,,,,10.7,8403500,,,0,8403500.1901.6.24,8.9,1901
-52.7,47.56666666666667,0,5,,1,,,,,25,,6,10.3,,NL,1,,,,ST JOHN'S,,1901-06-25 00:00:00,,,,,,7.7,8403500,,,0,8403500.1901.6.25,15.6,1901
