x,y,COOLING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE_FLAG,SPEED_MAX_GUST,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS,MIN_REL_HUMIDITY_FLAG,LOCAL_MONTH,STATION_NAME,LOCAL_DATE,MEAN_TEMPERATURE,SNOW_ON_GROUND,TOTAL_PRECIPITATION,MAX_TEMPERATURE,DIRECTION_MAX_GUST,TOTAL_SNOW_FLAG,SPEED_MAX_GUST_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS_FLAG,LOCAL_DAY,LOCAL_YEAR,MAX_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,TOTAL_SNOW,HEATING_DEGREE_DAYS,MIN_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,DIRECTION_MAX_GUST_FLAG,ID,CLIMATE_IDENTIFIER,PROVINCE_CODE,MIN_REL_HUMIDITY
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-06 00:00:00,-0.6,,3.8,0,,,,,,,6,1933,,,3.8,18.6,-1.1,,0,,8403500.1933.2.6,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-07 00:00:00,1.7,,4.1,3.3,,,,,,,7,1933,,,4.1,16.3,0,,0,,8403500.1933.2.7,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-08 00:00:00,3.6,,0,7.8,,,,,,,8,1933,,,0,14.4,-0.6,,0,,8403500.1933.2.8,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-09 00:00:00,4.2,,10.4,8.9,,,,,,,9,1933,,,0,13.8,-0.6,,10.4,,8403500.1933.2.9,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-10 00:00:00,-7.5,,1.3,-6.7,,,,,,,10,1933,,,1.3,25.5,-8.3,,0,,8403500.1933.2.10,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-11 00:00:00,-5,,0,1.7,,,,,,,11,1933,,,0,23,-11.7,,0,,8403500.1933.2.11,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-12 00:00:00,-1.1,,9.1,2.8,,,,,,,12,1933,,,0,19.1,-5,,9.1,,8403500.1933.2.12,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-13 00:00:00,-6.7,,0,-3.9,,,,,,,13,1933,,,0,24.7,-9.4,,0,,8403500.1933.2.13,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-14 00:00:00,-3.3,,0,0.6,,,,,,,14,1933,,,0,21.3,-7.2,,0,,8403500.1933.2.14,8403500,NL,
-52.7,47.56666666666667,,,,,,0,,2,ST JOHN'S,1933-02-15 00:00:00,-1.4,,3,1.1,,,,,,,15,1933,,,3,19.4,-3.9,,0,,8403500.1933.2.15,8403500,NL,
