x,y,CLIMATE_IDENTIFIER,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST,COOLING_DEGREE_DAYS,MIN_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,TOTAL_RAIN_FLAG,STATION_NAME,MEAN_TEMPERATURE_FLAG,MAX_REL_HUMIDITY,HEATING_DEGREE_DAYS,LOCAL_DATE,LOCAL_DAY,HEATING_DEGREE_DAYS_FLAG,TOTAL_SNOW,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,LOCAL_MONTH,TOTAL_RAIN,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST_FLAG,ID,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY_FLAG,SPEED_MAX_GUST,SNOW_ON_GROUND,DIRECTION_MAX_GUST_FLAG,PROVINCE_CODE,LOCAL_YEAR
-52.742777777777775,47.62222222222222,8403506,T,,0,,-2,,,,ST JOHN'S A,,,20,1954-10-26 00:00:00,26,,0,-1.1,,-2.8,10,0,T,,8403506.1954.10.26,,,0,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,0.9,,,,ST JOHN'S A,,,17.1,1954-10-27 00:00:00,27,,0,5.6,,-3.9,10,3,,,8403506.1954.10.27,,,3,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,4.8,,,,ST JOHN'S A,,,13.2,1954-10-28 00:00:00,28,,0,12.8,,-3.3,10,12.2,,,8403506.1954.10.28,,,12.2,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,4.2,,,,ST JOHN'S A,,,13.8,1954-10-29 00:00:00,29,,0,7.2,,1.1,10,0,,,8403506.1954.10.29,,,0,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,7,,,T,ST JOHN'S A,,,11,1954-10-30 00:00:00,30,,0,13.9,,0,10,0,T,,8403506.1954.10.30,,,0,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,12.8,,,,ST JOHN'S A,,,5.2,1954-10-31 00:00:00,31,,0,17.8,,7.8,10,0.8,,,8403506.1954.10.31,,,0.8,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,13.1,,,,ST JOHN'S A,,,4.9,1954-11-01 00:00:00,1,,0,17.2,,8.9,11,4.1,,,8403506.1954.11.1,,,4.1,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,6.7,,,,ST JOHN'S A,,,11.3,1954-11-02 00:00:00,2,,0,8.9,,4.4,11,0,,,8403506.1954.11.2,,,0,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,4.5,,,,ST JOHN'S A,,,13.5,1954-11-03 00:00:00,3,,0,8.3,,0.6,11,1,,,8403506.1954.11.3,,,1,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,8.3,,,,ST JOHN'S A,,,9.7,1954-11-04 00:00:00,4,,0,13.3,,3.3,11,2.3,,,8403506.1954.11.4,,,2.3,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,9.2,,,,ST JOHN'S A,,,8.8,1954-11-05 00:00:00,5,,0,12.2,,6.1,11,0,,,8403506.1954.11.5,,,0,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,9.5,,,,ST JOHN'S A,,,8.5,1954-11-06 00:00:00,6,,0,13.9,,5,11,0.3,,,8403506.1954.11.6,,,0.3,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,3.1,,,T,ST JOHN'S A,,,14.9,1954-11-07 00:00:00,7,,0,4.4,,1.7,11,0,T,,8403506.1954.11.7,,,0,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,2.8,,,,ST JOHN'S A,,,15.2,1954-11-08 00:00:00,8,,0,4.4,,1.1,11,0.5,,,8403506.1954.11.8,,,0.5,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,T,,0,,2.2,,,T,ST JOHN'S A,,,15.8,1954-11-09 00:00:00,9,,0,4.4,,0,11,0,T,,8403506.1954.11.9,,,0,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,-0.3,,,,ST JOHN'S A,,,18.3,1954-11-10 00:00:00,10,,0,2.2,,-2.8,11,0,,,8403506.1954.11.10,,,0,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,2.5,,,,ST JOHN'S A,,,15.5,1954-11-11 00:00:00,11,,0,6.7,,-1.7,11,0,,,8403506.1954.11.11,,,0,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,4.8,,,,ST JOHN'S A,,,13.2,1954-11-12 00:00:00,12,,2.5,7.8,,1.7,11,3.6,,,8403506.1954.11.12,,,6.1,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,-5,,,,ST JOHN'S A,,,23,1954-11-13 00:00:00,13,,0.3,-3.3,,-6.7,11,0,,,8403506.1954.11.13,,,0.3,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,0.6,,,,ST JOHN'S A,,,17.4,1954-11-14 00:00:00,14,,0.3,7.8,,-6.7,11,14,,,8403506.1954.11.14,,,14.2,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,1.7,,,,ST JOHN'S A,,,16.3,1954-11-15 00:00:00,15,,1.3,6.1,,-2.8,11,1.3,,,8403506.1954.11.15,,,2.5,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,0,,,T,ST JOHN'S A,,,18,1954-11-16 00:00:00,16,,0,3.9,,-3.9,11,0,T,,8403506.1954.11.16,,,0,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,T,,0,,3.9,,,,ST JOHN'S A,,,14.1,1954-11-17 00:00:00,17,,0,6.7,,1.1,11,1.8,,,8403506.1954.11.17,,,1.8,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,-4.2,,,,ST JOHN'S A,,,22.2,1954-11-18 00:00:00,18,,0,-1.7,,-6.7,11,0,,,8403506.1954.11.18,,,0,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,T,,0,,2.5,,,T,ST JOHN'S A,,,15.5,1954-11-19 00:00:00,19,,0,11.1,,-6.1,11,0,T,,8403506.1954.11.19,,,0,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,10,,,,ST JOHN'S A,,,8,1954-11-20 00:00:00,20,,0,15,,5,11,2,,,8403506.1954.11.20,,,2,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,11.7,,,T,ST JOHN'S A,,,6.3,1954-11-21 00:00:00,21,,0,16.7,,6.7,11,0,T,,8403506.1954.11.21,,,0,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,11.7,,,T,ST JOHN'S A,,,6.3,1954-11-22 00:00:00,22,,0,17.2,,6.1,11,0,T,,8403506.1954.11.22,,,0,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,T,,0,,3.7,,,,ST JOHN'S A,,,14.3,1954-11-23 00:00:00,23,,0,5.6,,1.7,11,0,T,,8403506.1954.11.23,,,0,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,0,,,,ST JOHN'S A,,,18,1954-11-24 00:00:00,24,,19.3,1.1,,-1.1,11,0,,,8403506.1954.11.24,,,19.3,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,-0.6,,,T,ST JOHN'S A,,,18.6,1954-11-25 00:00:00,25,,9.9,0.6,,-1.7,11,0,,,8403506.1954.11.25,,,9.9,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,-2,,,,ST JOHN'S A,,,20,1954-11-26 00:00:00,26,,0.5,0,,-3.9,11,0,,,8403506.1954.11.26,,,0.5,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,-4.2,,,,ST JOHN'S A,,,22.2,1954-11-27 00:00:00,27,,0,-0.6,,-7.8,11,0,,,8403506.1954.11.27,,,0,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,T,,0,,-4.8,,,,ST JOHN'S A,,,22.8,1954-11-28 00:00:00,28,,0,-1.7,,-7.8,11,0,T,,8403506.1954.11.28,,,0,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,-0.3,,,T,ST JOHN'S A,,,18.3,1954-11-29 00:00:00,29,,13.2,2.8,,-3.3,11,0,,,8403506.1954.11.29,,,13.2,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,0.9,,,,ST JOHN'S A,,,17.1,1954-11-30 00:00:00,30,,6.9,2.8,,-1.1,11,0.5,,,8403506.1954.11.30,,,7.4,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,-5,,,,ST JOHN'S A,,,23,1954-12-01 00:00:00,1,,0.3,-3.3,,-6.7,12,0,,,8403506.1954.12.1,,,0.3,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,-5.9,,,,ST JOHN'S A,,,23.9,1954-12-02 00:00:00,2,,0.5,-2.8,,-8.9,12,0,,,8403506.1954.12.2,,,0.5,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,-5.6,,,T,ST JOHN'S A,,,23.6,1954-12-03 00:00:00,3,,5.8,0,,-11.1,12,0,,,8403506.1954.12.3,,,5.8,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,-0.8,,,T,ST JOHN'S A,,,18.8,1954-12-04 00:00:00,4,,0,0.6,,-2.2,12,0,T,,8403506.1954.12.4,,,0,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,1.4,,,,ST JOHN'S A,,,16.6,1954-12-05 00:00:00,5,,0,3.9,,-1.1,12,0.3,,,8403506.1954.12.5,,,0.3,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,4.5,,,T,ST JOHN'S A,,,13.5,1954-12-06 00:00:00,6,,0,8.9,,0,12,0,T,,8403506.1954.12.6,,,0,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,2.5,,,,ST JOHN'S A,,,15.5,1954-12-07 00:00:00,7,,0,5,,0,12,28.4,,,8403506.1954.12.7,,,28.4,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,6.1,,,,ST JOHN'S A,,,11.9,1954-12-08 00:00:00,8,,0,11.1,,1.1,12,21.6,,,8403506.1954.12.8,,,21.6,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,4.4,,,T,ST JOHN'S A,,,13.6,1954-12-09 00:00:00,9,,0,9.4,,-0.6,12,0,T,,8403506.1954.12.9,,,0,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,6.4,,,,ST JOHN'S A,,,11.6,1954-12-10 00:00:00,10,,0,11.1,,1.7,12,5.6,,,8403506.1954.12.10,,,5.6,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,4.7,,,T,ST JOHN'S A,,,13.3,1954-12-11 00:00:00,11,,0,6.1,,3.3,12,0,T,,8403506.1954.12.11,,,0,,,,,NL,1954
-52.742777777777775,47.62222222222222,8403506,,,0,,0,,,T,ST JOHN'S A,,,18,1954-12-12 00:00:00,12,,5.6,1.7,,-1.7,12,0,,,8403506.1954.12.12,,,5.6,,,,,NL,1954
