x,y,PROVINCE_CODE,MAX_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,TOTAL_RAIN_FLAG,SNOW_ON_GROUND,LOCAL_YEAR,HEATING_DEGREE_DAYS_FLAG,LOCAL_DATE,ID,TOTAL_SNOW,COOLING_DEGREE_DAYS,MIN_TEMPERATURE,SNOW_ON_GROUND_FLAG,STATION_NAME,TOTAL_PRECIPITATION_FLAG,MEAN_TEMPERATURE,SPEED_MAX_GUST,HEATING_DEGREE_DAYS,MIN_TEMPERATURE_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN,LOCAL_DAY,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,MAX_REL_HUMIDITY,DIRECTION_MAX_GUST,COOLING_DEGREE_DAYS_FLAG,LOCAL_MONTH,MIN_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION,TOTAL_SNOW_FLAG,MAX_TEMPERATURE,MIN_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG
-52.742777777777775,47.62222222222222,NL,,8403506,T,0,2009,,2009-07-29 00:00:00,8403506.2009.7.29,0,0,10.4,,ST JOHN'S A,T,15.9,0,2.1,,M,0,29,,,,0,,7,M,0,,21.3,,
-52.742777777777775,47.62222222222222,NL,,8403506,,0,2009,,2009-07-30 00:00:00,8403506.2009.7.30,0,0,10.4,,ST JOHN'S A,,17.1,37,0.9,,M,0.4,30,,E,,20,,7,M,0.4,,23.7,,E
-52.742777777777775,47.62222222222222,NL,,8403506,T,0,2009,,2009-07-31 00:00:00,8403506.2009.7.31,0,3.2,16.8,,ST JOHN'S A,T,21.2,59,0,,M,0,31,,E,,27,,7,M,0,,25.5,,E
-52.742777777777775,47.62222222222222,NL,,8403506,,0,2009,,2009-08-01 00:00:00,8403506.2009.8.1,0,2.2,16.4,,ST JOHN'S A,,20.2,48,0,,M,1,1,,E,,24,,8,M,1,,24,,E
-52.742777777777775,47.62222222222222,NL,,8403506,,0,2009,,2009-08-02 00:00:00,8403506.2009.8.2,0,0,10.9,,ST JOHN'S A,,16,0,2,,M,0,2,,,,0,,8,M,0,,21,,
-52.742777777777775,47.62222222222222,NL,,8403506,,0,2009,,2009-08-03 00:00:00,8403506.2009.8.3,0,0,12.2,,ST JOHN'S A,,15.1,41,2.9,,M,6,3,,E,,15,,8,M,6,,17.9,,E
-52.742777777777775,47.62222222222222,NL,,8403506,,0,2009,,2009-08-04 00:00:00,8403506.2009.8.4,0,1.8,15.3,,ST JOHN'S A,,19.8,35,0,,M,0.2,4,,E,,28,,8,M,0.2,,24.2,,E
-52.742777777777775,47.62222222222222,NL,,8403506,T,0,2009,,2009-08-05 00:00:00,8403506.2009.8.5,0,2.4,14.9,,ST JOHN'S A,T,20.4,37,0,,M,0,5,,E,,26,,8,M,0,,25.8,,E
-52.742777777777775,47.62222222222222,NL,,8403506,,0,2009,,2009-08-06 00:00:00,8403506.2009.8.6,0,1.7,16.1,,ST JOHN'S A,,19.7,50,0,,M,0,6,,E,,26,,8,M,0,,23.3,,E
-52.742777777777775,47.62222222222222,NL,,8403506,,0,2009,,2009-08-07 00:00:00,8403506.2009.8.7,0,1.2,15.9,,ST JOHN'S A,,19.2,32,0,,M,23.2,7,,E,,23,,8,M,23.2,,22.5,,E
