x,y,LOCAL_MONTH,MAX_REL_HUMIDITY,ID,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE_FLAG,PROVINCE_CODE,TOTAL_PRECIPITATION_FLAG,LOCAL_YEAR,SPEED_MAX_GUST,MAX_TEMPERATURE,TOTAL_RAIN,LOCAL_DAY,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,COOLING_DEGREE_DAYS_FLAG,STATION_NAME,MEAN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS,MEAN_TEMPERATURE,MAX_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,SNOW_ON_GROUND,TOTAL_RAIN_FLAG,CLIMATE_IDENTIFIER,LOCAL_DATE,MIN_REL_HUMIDITY,MIN_TEMPERATURE,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_SNOW_FLAG
-52.7525,47.618611111111115,3,,8403505.2012.3.20,,,NL,,2012,70,2.8,0,20,,2.4,,ST. JOHN'S INTL A,,1.6,19.6,-1.6,,0,,,25,0,,8403505,2012-03-20 00:00:00,,-6,T,,
-52.7525,47.618611111111115,3,,8403505.2012.3.21,,,NL,,2012,54,-4,0,21,,0.2,,ST. JOHN'S INTL A,,0.2,23.9,-5.9,,0,,,32,2,,8403505,2012-03-21 00:00:00,,-7.7,,,
-52.7525,47.618611111111115,3,,8403505.2012.3.22,,,NL,,2012,43,2.8,0.8,22,,0,,ST. JOHN'S INTL A,,0.8,19.2,-1.2,,0,,,27,2,,8403505,2012-03-22 00:00:00,,-5.2,,,
-52.7525,47.618611111111115,3,,8403505.2012.3.23,,,NL,,2012,70,2.8,0,23,,0.8,,ST. JOHN'S INTL A,,0.8,18,0,,0,,,30,0,,8403505,2012-03-23 00:00:00,,-2.8,T,,
-52.7525,47.618611111111115,3,,8403505.2012.3.24,,,NL,,2012,63,-0.5,0,24,,2.4,,ST. JOHN'S INTL A,,1.8,22.3,-4.3,,0,,,32,2,,8403505,2012-03-24 00:00:00,,-8,,,
-52.7525,47.618611111111115,3,,8403505.2012.3.25,,,NL,T,2012,48,-1.3,0,25,,0.4,,ST. JOHN'S INTL A,,0,22.6,-4.6,,0,,,3,1,,8403505,2012-03-25 00:00:00,,-7.8,,,
-52.7525,47.618611111111115,3,,8403505.2012.3.26,,,NL,,2012,67,3.3,10.2,26,,0,,ST. JOHN'S INTL A,,10.2,19.3,-1.3,,0,,,13,0,,8403505,2012-03-26 00:00:00,,-5.8,T,,T
-52.7525,47.618611111111115,3,,8403505.2012.3.27,,,NL,,2012,48,8.3,4.4,27,,0,,ST. JOHN'S INTL A,,4.4,14.4,3.6,,0,,,20,0,,8403505,2012-03-27 00:00:00,,-1.1,T,,
-52.7525,47.618611111111115,3,,8403505.2012.3.28,,,NL,T,2012,33,2.9,0,28,,0,,ST. JOHN'S INTL A,,0,17.8,0.2,,0,,,25,0,,8403505,2012-03-28 00:00:00,,-2.5,T,,T
-52.7525,47.618611111111115,3,,8403505.2012.3.29,,,NL,T,2012,39,4.8,0,29,,0,,ST. JOHN'S INTL A,,0,16.6,1.4,,0,,,25,0,,8403505,2012-03-29 00:00:00,,-2.1,T,,T
